Circuit,Substation,Circuit Voltage (kV),Updated Date,Summer Load Capacity,Peak Load,Substation/Bank Rating (MW),NOTES
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
307,FOX HILLS,4,3/30/2026,1.04390794,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
4R66,WILLOWBROOK,13,3/30/2026,2.2062,78,130,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions. This line may not be able to accept additional projects over 50kW. Please email dgexpert@coned.com for further information.
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
217,FRESH KILLS,4,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R29,WOODROW,13,3/30/2026,3.2322,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
314,FOX HILLS,4,3/30/2026,0.689802601,202,280,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R11,WOODROW,13,3/30/2026,3.1162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R17,WOODROW,13,3/30/2026,0.5192,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
221,FRESH KILLS,4,3/30/2026,0.142332792,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
3R33M,WAINWRIGHT,13,3/30/2026,5.66039,87,131,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R28,WOODROW,13,3/30/2026,4.8792,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R81,FRESH KILLS,13,3/30/2026,3.1172,173,283,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R28,FRESH KILLS,13,3/30/2026,0,173,283,None
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
310,FOX HILLS,4,3/30/2026,0.114621597,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R10,WOODROW,13,3/30/2026,1.5162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
3R33M,WAINWRIGHT,13,3/30/2026,5.66039,87,131,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
221,FRESH KILLS,4,3/30/2026,0.142332792,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R17,WOODROW,13,3/30/2026,0.5192,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R10,WOODROW,13,3/30/2026,1.5162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
4R66,WILLOWBROOK,13,3/30/2026,2.2062,78,130,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions. This line may not be able to accept additional projects over 50kW. Please email dgexpert@coned.com for further information.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
3R32M,WAINWRIGHT,13,3/30/2026,6.45093,87,131,NONE
3R33L,WAINWRIGHT,13,3/30/2026,2.624,87,131,NONE
3R33M,WAINWRIGHT,13,3/30/2026,5.66039,87,131,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R28,FRESH KILLS,13,3/30/2026,0,173,283,None
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R10,WOODROW,13,3/30/2026,1.5162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
314,FOX HILLS,4,3/30/2026,0.689802601,202,280,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R10,WOODROW,13,3/30/2026,1.5162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
4R66,WILLOWBROOK,13,3/30/2026,2.2062,78,130,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions. This line may not be able to accept additional projects over 50kW. Please email dgexpert@coned.com for further information.
314,FOX HILLS,4,3/30/2026,0.689802601,202,280,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R10,WOODROW,13,3/30/2026,1.5162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R19,WOODROW,13,3/30/2026,1.7252,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R18,WOODROW,13,3/30/2026,4.5782,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R24,WOODROW,13,3/30/2026,1.3302,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
307,FOX HILLS,4,3/30/2026,1.04390794,202,280,RADIAL
5R29,WOODROW,13,3/30/2026,3.2322,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R16,WOODROW,13,3/30/2026,3.0932,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
221,FRESH KILLS,4,3/30/2026,0.142332792,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R28,FRESH KILLS,13,3/30/2026,0,173,283,None
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R28,WOODROW,13,3/30/2026,4.8792,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R11,WOODROW,13,3/30/2026,3.1162,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
3R36L,WAINWRIGHT,13,3/30/2026,5.07883,87,131,NONE
5R17,WOODROW,13,3/30/2026,0.5192,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R19,WOODROW,13,3/30/2026,1.7252,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R27,WOODROW,13,3/30/2026,3.7202,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R28,FRESH KILLS,13,3/30/2026,0,173,283,None
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
221,FRESH KILLS,4,3/30/2026,0.142332792,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
1R16,FRESH KILLS,13,3/30/2026,0,173,283,This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R29,WOODROW,13,3/30/2026,3.2322,103,196,Due to DER projects exceeding the minimum loads in this Con Edison distribution region transmission and substation level studies may be required to review the impact at the station level and cost associated with station upgrades. These costs may be delivered post CESIR as the CESIR may only cover the distribution portion of the interconnection requirements. This substation may require a Qualifying Substation Upgrade for interconnection subject to Cost Sharing 2.0 requirements within the SIR. Please contact dgexpert@coned.com with any questions.
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
304,FOX HILLS,4,3/30/2026,0.201929323,202,280,RADIAL
3R32L,WAINWRIGHT,13,3/30/2026,4.54046,87,131,NONE
5R26,WOODROW,13,3/30/2026,3.1632,103,196,NONE
